SNO,CropType,Temp,SoilMoisture,Irrigate
206,Maize,30.4,773,0
207,Cotton,33.1,698,0
208,Cotton,25.6,711,0
209,Tomato,30.6,324,0
210,Millet,28.9,276,0
211,Banana,27.5,538,0
212,Millet,32.0,773,0
213,Maize,28.9,829,0
214,Banana,29.2,775,0
215,Cotton,32.1,369,0
216,Banana,30.6,513,0
217,Millet,25.1,348,0
218,Rice,33.2,849,0
219,Maize,30.4,601,0
220,Rice,30.3,568,0
221,Tomato,26.0,404,0
222,Tomato,29.0,236,1
223,Banana,27.2,277,1
224,Tomato,26.0,155,0
225,Cotton,32.6,389,0
226,Maize,29.4,695,0
227,Tomato,24.8,620,0
228,Maize,28.2,842,0
229,Millet,32.8,494,0
230,Maize,26.8,706,0
231,Millet,30.3,239,1
232,Cotton,27.3,199,0
233,Cotton,28.8,376,0
234,Maize,32.4,228,1
235,Banana,28.3,200,1
236,Millet,25.6,170,0
237,Banana,25.6,577,0
238,Rice,32.7,384,1
239,Banana,24.4,802,0
240,Tomato,25.4,614,0
241,Rice,32.0,631,0
242,Cotton,31.4,742,0
243,Tomato,33.6,661,0
244,Millet,30.2,640,0
245,Cotton,31.3,213,1
246,Maize,25.1,416,0
247,Rice,31.7,683,0
248,Rice,25.8,450,0
249,Tomato,32.8,253,1
250,Cotton,31.0,201,1
251,Rice,30.1,712,0
252,Rice,28.7,192,1
253,Maize,29.9,776,0
254,Banana,33.5,202,1
255,Rice,25.5,617,0
256,Cotton,33.0,468,0
257,Millet,34.0,567,0
258,Rice,33.4,829,0
259,Maize,28.3,323,1
260,Millet,31.4,433,0
261,Rice,34.1,635,0
262,Millet,25.0,436,0
263,Millet,34.5,520,0
264,Cotton,28.7,234,0
265,Rice,33.9,215,1
266,Rice,26.5,419,0
267,Rice,24.2,337,0
268,Banana,25.7,472,0
269,Maize,29.0,850,0
270,Millet,24.6,371,0
271,Tomato,30.0,705,0
272,Banana,34.8,570,0
273,Rice,24.8,429,0
274,Cotton,29.8,310,0
275,Tomato,27.8,455,0
276,Millet,30.2,648,0
277,Maize,35.0,620,0
278,Maize,30.3,211,1
279,Maize,24.9,370,0
280,Millet,28.8,226,0
281,Maize,29.8,769,0
282,Maize,29.9,470,0
283,Tomato,35.0,169,1
284,Tomato,25.7,512,0
285,Tomato,27.5,535,0
286,Rice,33.1,624,0
287,Maize,27.7,499,0
288,Millet,32.4,718,0
289,Cotton,24.4,812,0
290,Millet,29.6,813,0
291,Cotton,25.1,410,0
292,Tomato,33.1,474,0
293,Millet,26.8,151,0
294,Rice,28.6,392,1
295,Maize,29.9,610,0
296,Rice,30.8,548,0
297,Rice,26.5,779,0
298,Tomato,24.8,578,0
299,Millet,32.6,358,0
300,Cotton,34.1,464,0
301,Cotton,28.0,321,0
302,Rice,28.5,316,1
303,Tomato,28.6,527,0
304,Maize,32.1,640,0
305,Banana,33.6,481,0
306,Millet,31.3,758,0
307,Tomato,26.0,793,0
308,Millet,27.6,785,0
309,Rice,24.7,507,0
310,Banana,31.4,680,0
311,Maize,29.6,791,0
312,Millet,32.6,641,0
313,Maize,24.6,366,0
314,Tomato,24.8,504,0
315,Tomato,27.6,455,0
316,Banana,28.9,195,1
317,Tomato,30.6,452,0
318,Millet,24.3,631,0
319,Tomato,26.0,699,0
320,Cotton,24.4,460,0
321,Maize,24.2,579,0
322,Tomato,34.2,817,0
323,Tomato,34.2,308,0
324,Banana,24.4,165,0
325,Tomato,26.9,844,0
326,Cotton,32.1,788,0
327,Millet,33.6,215,1
328,Maize,27.2,193,0
329,Maize,30.8,605,0
330,Cotton,33.3,664,0
331,Banana,32.6,578,0
332,Maize,31.4,737,0
333,Rice,26.9,779,0
334,Banana,34.4,707,0
335,Cotton,30.5,321,1
336,Tomato,33.6,262,1
337,Cotton,29.1,328,0
338,Maize,32.0,195,1
339,Rice,28.5,494,0
340,Rice,31.8,415,0
341,Millet,34.4,335,1
342,Rice,31.4,165,1
343,Cotton,28.8,468,0
344,Cotton,26.7,182,0
345,Rice,27.1,687,0
346,Cotton,25.7,394,0
347,Millet,29.5,244,0
348,Rice,27.0,412,0
349,Banana,31.8,589,0
350,Cotton,31.1,833,0
351,Cotton,33.3,593,0
352,Cotton,26.3,665,0
353,Tomato,31.0,568,0
354,Rice,33.8,265,1
355,Millet,33.9,665,0
356,Tomato,30.3,354,0
357,Maize,31.6,344,1
358,Maize,24.2,800,0
359,Maize,27.3,446,0
360,Millet,33.9,186,1
361,Millet,24.9,472,0
362,Cotton,24.9,226,0
363,Rice,25.7,678,0
364,Maize,32.2,822,0
365,Rice,30.4,711,0
366,Millet,31.3,599,0
367,Maize,33.2,174,1
368,Rice,28.0,672,0
369,Banana,29.4,290,1
370,Tomato,27.6,811,0
371,Maize,34.0,407,0
372,Maize,34.0,476,0
373,Millet,26.7,234,0
374,Tomato,26.5,308,0
375,Cotton,25.8,473,0
376,Cotton,33.1,346,1
377,Tomato,29.7,692,0
378,Cotton,34.3,607,0
379,Rice,33.2,809,0
380,Maize,27.7,756,0
381,Maize,25.2,760,0
382,Tomato,29.4,787,0
383,Cotton,31.5,591,0
384,Cotton,27.3,582,0
385,Millet,25.7,294,0
386,Millet,29.1,345,0
387,Millet,29.4,427,0
388,Maize,25.5,803,0
389,Cotton,27.2,213,0
390,Tomato,33.5,526,0
391,Millet,27.2,487,0
392,Cotton,34.2,728,0
393,Maize,26.1,183,0
394,Cotton,25.9,829,0
395,Maize,30.3,712,0
396,Rice,31.3,448,0
397,Banana,27.9,562,0
398,Banana,31.9,199,1
399,Tomato,26.8,389,0
400,Tomato,25.1,335,0
401,Millet,26.3,225,0
402,Maize,33.5,302,1
403,Millet,27.8,817,0
404,Maize,24.2,248,0
405,Tomato,33.6,751,0
406,Millet,28.0,580,0
407,Tomato,32.8,204,1
408,Maize,34.7,365,1
409,Millet,34.6,761,0
410,Rice,25.8,550,0
411,Banana,26.5,166,1
412,Maize,25.1,465,0
413,Cotton,34.2,700,0
414,Rice,30.8,493,0
415,Millet,24.3,313,0
416,Banana,30.1,543,0
417,Banana,24.1,621,0
418,Maize,27.2,613,0
419,Tomato,29.2,326,0
420,Millet,33.4,609,0
421,Rice,25.4,388,0
422,Millet,25.2,802,0
423,Maize,33.5,637,0
424,Millet,30.6,625,0
425,Rice,25.6,794,0
426,Tomato,27.0,612,0
427,Banana,26.5,529,0
428,Millet,24.7,173,0
429,Tomato,35.0,239,1
430,Millet,28.2,164,0
431,Tomato,28.4,338,0
432,Tomato,29.2,163,1
433,Cotton,28.9,322,0
434,Millet,32.2,757,0
435,Maize,33.7,554,0
436,Rice,26.5,305,0
437,Millet,33.3,266,1
438,Rice,30.7,230,1
439,Millet,25.5,735,0
440,Maize,27.0,450,0
441,Tomato,33.1,818,0
442,Cotton,27.0,689,0
443,Millet,30.6,769,0
444,Millet,29.3,818,0
445,Banana,33.1,646,0
446,Rice,28.6,425,0
447,Rice,24.9,259,0
448,Banana,33.9,384,1
449,Maize,32.0,651,0
450,Banana,32.9,352,1
451,Cotton,34.7,337,1
452,Cotton,34.2,501,0
453,Cotton,31.9,514,0
454,Tomato,25.6,554,0
455,Millet,27.1,239,0
456,Maize,28.5,294,1
457,Millet,33.9,216,1
458,Banana,27.4,777,0
459,Rice,32.0,276,1
460,Maize,28.4,327,1
461,Millet,32.1,321,1
462,Tomato,30.5,165,1
463,Maize,34.7,239,1
464,Banana,33.1,289,1
465,Millet,32.9,809,0
466,Banana,33.6,326,1
467,Banana,27.1,816,0
468,Banana,30.9,234,1
469,Rice,31.1,209,1
470,Millet,32.2,283,1
471,Tomato,24.9,554,0
472,Maize,34.7,251,1
473,Tomato,30.2,461,0
474,Banana,28.5,823,0
475,Millet,25.0,514,0
476,Banana,31.3,292,1
477,Cotton,32.2,261,1
478,Maize,33.4,620,0
479,Banana,30.5,841,0
480,Cotton,27.8,567,0
481,Maize,30.0,303,1
482,Tomato,32.9,664,0
483,Tomato,31.5,581,0
484,Millet,32.8,174,1
485,Tomato,30.5,827,0
486,Cotton,27.9,762,0
487,Banana,25.8,755,0
488,Banana,25.1,638,0
489,Cotton,26.8,698,0
490,Rice,32.8,557,0
491,Banana,28.0,845,0
492,Maize,31.7,334,1
493,Banana,31.7,317,1
494,Tomato,29.7,565,0
495,Millet,24.2,781,0
496,Banana,31.2,295,1
497,Millet,25.2,329,0
498,Maize,34.8,225,1
499,Maize,25.1,477,0
500,Millet,33.1,701,0
501,Banana,30.9,472,0
502,Millet,32.2,527,0
503,Banana,34.6,563,0
504,Maize,33.1,411,0
505,Cotton,30.6,778,0
506,Millet,24.5,341,0
507,Millet,35.0,730,0
508,Tomato,34.5,294,1
509,Tomato,28.9,544,0
510,Cotton,29.9,727,0
511,Banana,33.8,443,1
512,Millet,24.1,295,0
513,Millet,31.7,796,0
514,Banana,24.6,550,0
515,Tomato,26.5,709,0
516,Millet,32.9,845,0
517,Tomato,30.0,524,0
518,Cotton,24.9,555,0
519,Cotton,27.6,347,0
520,Tomato,30.7,368,0
521,Rice,34.9,255,1
522,Banana,24.8,615,0
523,Rice,31.5,160,1
524,Maize,32.7,398,1
525,Cotton,29.8,210,0
526,Tomato,28.3,290,1
527,Cotton,27.0,654,0
528,Tomato,34.0,491,0
529,Tomato,26.1,695,0
530,Banana,27.2,436,1
531,Millet,34.5,682,0
532,Rice,31.4,718,0
533,Cotton,34.2,386,0
534,Cotton,31.6,749,0
535,Maize,31.0,492,0
536,Cotton,30.9,383,0
537,Tomato,28.9,665,0
538,Tomato,24.1,811,0
539,Cotton,33.5,211,1
540,Banana,30.9,194,1
541,Banana,27.0,338,1
542,Cotton,32.6,777,0
543,Rice,33.3,808,0
544,Rice,24.4,799,0
545,Banana,32.8,496,0
546,Millet,32.7,600,0
547,Rice,29.3,547,0
548,Cotton,29.8,398,0
549,Rice,25.0,460,0
550,Rice,34.7,731,0
551,Millet,28.0,289,0
552,Millet,27.9,214,0
553,Cotton,26.6,205,0
554,Millet,34.0,233,1
555,Maize,34.8,554,0
556,Rice,33.3,813,0
557,Banana,32.4,809,0
558,Tomato,26.1,677,0
559,Rice,33.0,564,0
560,Millet,28.9,391,0
561,Rice,34.4,292,1
562,Tomato,28.0,243,1
563,Rice,33.2,436,0
564,Cotton,25.4,633,0
565,Rice,30.1,603,0
566,Maize,32.4,276,1
567,Rice,33.7,500,0
568,Tomato,33.1,653,0
569,Millet,27.8,600,0
570,Cotton,31.9,804,0
571,Rice,34.5,485,0
572,Tomato,34.7,615,0
573,Millet,34.3,158,1
574,Tomato,34.8,633,0
575,Rice,33.6,816,0
576,Maize,25.2,405,0
577,Rice,29.4,666,0
578,Maize,34.6,683,0
579,Tomato,30.8,355,0
580,Maize,32.3,189,1
581,Millet,33.7,423,0
582,Maize,33.7,545,0
583,Rice,27.6,525,0
584,Banana,34.4,779,0
585,Banana,26.5,360,1
586,Maize,30.4,345,1
587,Cotton,28.4,644,0
588,Rice,24.1,706,0
589,Millet,27.3,507,0
590,Tomato,25.3,706,0
591,Millet,26.5,664,0
592,Banana,32.0,642,0
593,Maize,33.8,424,0
594,Banana,33.2,513,0
595,Rice,24.9,543,0
596,Tomato,26.3,376,0
597,Tomato,31.2,389,0
598,Maize,26.8,693,0
599,Cotton,34.4,627,0
600,Rice,28.2,275,1
601,Banana,29.0,155,1
602,Cotton,35.0,212,1
603,Banana,32.9,188,1
604,Rice,30.0,152,1
605,Millet,34.3,266,1
606,Cotton,33.3,226,1
607,Millet,26.7,354,0
608,Rice,27.9,517,0
609,Millet,30.1,331,1
610,Cotton,29.5,762,0
611,Rice,30.6,845,0
612,Tomato,24.6,607,0
613,Cotton,27.9,468,0
614,Millet,30.6,304,1
615,Cotton,31.8,241,1
616,Millet,29.8,791,0
617,Maize,27.0,752,0
618,Banana,33.0,654,0
619,Cotton,28.5,731,0
620,Millet,28.1,406,0
621,Tomato,33.0,712,0
622,Millet,29.8,191,0
623,Rice,31.1,443,0
624,Millet,26.0,463,0
625,Cotton,32.1,608,0
626,Maize,26.7,697,0
627,Cotton,32.7,314,1
628,Rice,30.3,300,1
629,Cotton,33.4,399,0
630,Rice,26.9,665,0
631,Banana,31.3,802,0
632,Tomato,24.3,245,0
633,Tomato,26.8,590,0
634,Banana,31.9,757,0
635,Tomato,32.0,818,0
636,Rice,27.5,773,0
637,Millet,24.3,188,0
638,Tomato,29.6,257,1
639,Maize,32.9,169,1
640,Banana,32.1,662,0
641,Banana,27.9,701,0
642,Maize,31.2,153,1
643,Banana,32.6,444,1
644,Banana,34.7,458,0
645,Cotton,24.7,584,0
646,Millet,28.2,419,0
647,Cotton,33.2,309,1
648,Tomato,26.0,377,0
649,Millet,33.8,501,0
650,Banana,28.1,295,1
651,Tomato,33.7,840,0
652,Cotton,33.9,356,0
653,Cotton,34.0,588,0
654,Maize,24.6,367,0
655,Banana,28.7,201,1
656,Tomato,27.2,743,0
657,Maize,32.8,329,1
658,Rice,34.1,254,1
659,Banana,33.9,567,0
660,Rice,24.1,500,0
661,Maize,34.5,539,0
662,Tomato,27.4,668,0
663,Banana,27.9,350,1
664,Rice,27.8,547,0
665,Tomato,31.5,239,1
666,Millet,32.8,402,0
667,Rice,25.7,200,0
668,Tomato,33.5,781,0
669,Rice,25.5,246,0
670,Cotton,34.9,279,1
671,Rice,27.6,177,0
672,Maize,33.0,328,1
673,Rice,29.0,551,0
674,Maize,25.7,542,0
675,Millet,31.0,338,1
676,Millet,33.1,641,0
677,Cotton,32.0,803,0
678,Maize,29.8,450,0
679,Rice,24.2,490,0
680,Tomato,26.7,818,0
681,Rice,26.0,482,0
682,Millet,29.1,746,0
683,Maize,33.3,791,0
684,Millet,31.1,483,0
685,Tomato,26.2,601,0
686,Tomato,27.3,651,0
687,Tomato,29.2,356,0
688,Tomato,25.3,422,0
689,Tomato,27.2,368,0
690,Tomato,27.0,338,0
691,Cotton,27.4,617,0
692,Cotton,24.5,530,0
693,Tomato,28.0,430,0
694,Cotton,29.0,442,0
695,Millet,29.6,200,0
696,Rice,32.4,433,0
697,Maize,29.3,847,0
698,Cotton,24.8,350,0
699,Cotton,35.0,317,1
700,Tomato,25.6,352,0
701,Cotton,26.7,326,0
702,Tomato,34.8,352,0
703,Tomato,29.2,576,0
704,Millet,34.7,471,0
705,Rice,28.5,809,0
706,Banana,34.2,405,1
707,Cotton,26.3,637,0
708,Cotton,28.5,532,0
709,Cotton,35.0,824,0
710,Maize,34.8,636,0
711,Maize,34.3,251,1
712,Tomato,30.5,361,0
713,Banana,28.2,446,1
714,Tomato,27.8,394,0
715,Tomato,33.8,481,0
716,Millet,27.3,342,0
717,Tomato,34.5,703,0
718,Tomato,25.0,154,0
719,Millet,34.8,546,0
720,Banana,24.8,788,0
721,Tomato,29.0,315,0
722,Millet,31.7,636,0
723,Rice,32.8,230,1
724,Millet,32.9,618,0
725,Tomato,29.7,198,1
726,Tomato,32.0,388,0
727,Rice,27.5,562,0
728,Rice,30.3,700,0
729,Millet,32.3,231,1
730,Tomato,30.2,437,0
731,Maize,26.2,784,0
732,Tomato,30.7,472,0
733,Maize,26.5,547,0
734,Cotton,28.6,243,0
735,Rice,29.2,685,0
736,Millet,31.4,542,0
737,Tomato,24.5,410,0
738,Tomato,24.9,160,0
739,Tomato,34.6,226,1
740,Cotton,26.0,434,0
741,Tomato,33.2,285,1
742,Tomato,30.4,286,1
743,Maize,25.3,451,0
744,Millet,30.1,461,0
745,Rice,33.6,837,0
746,Tomato,27.2,189,1
747,Banana,32.0,282,1
748,Banana,33.8,643,0
749,Millet,34.0,596,0
750,Cotton,29.5,406,0
751,Cotton,26.8,211,0
752,Rice,31.3,823,0
753,Rice,24.6,532,0
754,Banana,28.3,436,1
755,Rice,27.7,497,0
756,Maize,26.4,759,0
757,Maize,25.5,611,0
758,Millet,32.4,396,0
759,Rice,26.2,532,0
760,Tomato,29.9,468,0
761,Maize,26.8,350,0
762,Maize,28.3,828,0
763,Banana,32.0,388,1
764,Banana,28.7,825,0
765,Maize,32.4,214,1
766,Banana,32.8,713,0
767,Tomato,26.7,594,0
768,Maize,33.4,295,1
769,Tomato,31.8,358,0
770,Cotton,27.4,424,0
771,Millet,28.5,686,0
772,Cotton,34.8,348,1
773,Millet,27.1,759,0
774,Tomato,29.3,205,1
775,Rice,33.3,433,0
776,Millet,30.7,332,1
777,Cotton,29.2,238,0
778,Cotton,32.1,455,0
779,Banana,32.7,840,0
780,Millet,30.6,561,0
781,Tomato,28.2,752,0
782,Maize,24.8,815,0
783,Maize,30.0,281,1
784,Rice,25.0,641,0
785,Maize,29.6,679,0
786,Millet,32.4,452,0
787,Tomato,25.0,393,0
788,Banana,29.6,158,1
789,Tomato,32.6,520,0
790,Millet,26.3,692,0
791,Banana,29.8,444,1
792,Millet,33.1,793,0
793,Cotton,26.0,681,0
794,Rice,31.5,337,1
795,Cotton,24.9,416,0
796,Rice,29.4,367,1
797,Cotton,33.0,782,0
798,Maize,33.4,267,1
799,Maize,33.1,737,0
800,Cotton,28.7,551,0
801,Tomato,31.9,432,0
802,Cotton,34.8,153,1
803,Cotton,24.2,351,0
804,Rice,29.1,664,0
805,Banana,27.3,340,1
806,Cotton,26.2,324,0
807,Banana,31.7,811,0
808,Millet,34.9,317,1
809,Cotton,26.2,674,0
810,Rice,28.6,262,1
811,Maize,31.4,306,1
812,Banana,29.2,447,1
813,Maize,29.7,275,1
814,Maize,28.7,250,1
815,Millet,32.0,276,1
816,Banana,33.5,650,0
817,Millet,27.6,487,0
818,Cotton,32.5,505,0
819,Millet,30.9,651,0
820,Rice,29.1,794,0
821,Banana,30.4,183,1
822,Tomato,28.5,606,0
823,Tomato,30.2,184,1
824,Maize,25.0,220,0
825,Cotton,32.1,551,0
826,Millet,24.4,608,0
827,Millet,34.3,678,0
828,Millet,31.6,805,0
829,Maize,33.1,528,0
830,Millet,25.2,689,0
831,Millet,27.5,689,0
832,Millet,26.1,468,0
833,Banana,34.7,388,1
834,Millet,31.6,200,1
835,Maize,25.1,466,0
836,Millet,30.6,471,0
837,Tomato,28.2,323,0
838,Cotton,29.9,439,0
839,Millet,31.8,648,0
840,Banana,28.8,238,1
841,Tomato,27.8,807,0
842,Millet,25.1,375,0
843,Banana,25.4,786,0
844,Banana,32.5,278,1
845,Tomato,31.7,786,0
846,Millet,32.3,196,1
847,Rice,30.9,274,1
848,Millet,27.7,156,0
849,Millet,33.3,692,0
850,Tomato,30.9,272,1
851,Banana,31.0,158,1
852,Cotton,34.7,234,1
853,Rice,31.8,569,0
854,Tomato,27.8,813,0
855,Cotton,33.1,367,0
856,Millet,25.2,232,0
857,Cotton,32.4,419,0
858,Maize,26.9,808,0
859,Tomato,28.5,693,0
860,Rice,28.6,554,0
861,Rice,29.0,521,0
862,Maize,28.8,275,1
863,Banana,31.4,411,1
864,Millet,27.7,334,0
865,Maize,28.2,521,0
866,Rice,33.9,267,1
867,Banana,27.3,150,1
868,Maize,34.9,159,1
869,Maize,32.1,364,1
870,Tomato,30.2,340,0
871,Cotton,24.0,522,0
872,Cotton,33.6,700,0
873,Tomato,29.9,806,0
874,Tomato,29.9,656,0
875,Banana,27.0,749,0
876,Rice,27.0,745,0
877,Banana,28.6,637,0
878,Tomato,24.6,763,0
879,Banana,28.0,759,0
880,Maize,30.7,636,0
881,Maize,31.7,220,1
882,Cotton,29.7,813,0
883,Tomato,30.2,686,0
884,Maize,25.7,338,0
885,Banana,34.1,150,1
886,Banana,31.3,746,0
887,Cotton,34.3,201,1
888,Millet,34.6,358,0
889,Maize,25.1,210,0
890,Millet,30.5,848,0
891,Tomato,34.0,292,1
892,Banana,32.8,848,0
893,Rice,34.5,284,1
894,Banana,33.4,428,1
895,Millet,27.5,173,0
896,Rice,25.6,394,0
897,Tomato,33.4,215,1
898,Maize,32.5,476,0
899,Cotton,32.2,468,0
900,Tomato,31.8,449,0
901,Tomato,34.7,514,0
902,Maize,28.6,320,1
903,Cotton,32.3,825,0
904,Cotton,30.4,192,1
905,Tomato,25.3,241,0
906,Millet,30.2,395,0
907,Maize,33.0,768,0
908,Banana,27.9,696,0
909,Millet,25.6,547,0
910,Millet,30.4,503,0
911,Tomato,31.0,484,0
912,Banana,27.4,722,0
913,Banana,29.0,180,1
914,Banana,32.7,447,1
915,Rice,26.5,582,0
916,Millet,34.8,460,0
917,Tomato,31.7,242,1
918,Cotton,30.5,462,0
919,Banana,30.8,438,1
920,Banana,33.6,799,0
921,Tomato,30.0,752,0
922,Rice,30.6,844,0
923,Rice,26.7,791,0
924,Cotton,34.3,618,0
925,Tomato,34.1,488,0
926,Tomato,30.2,220,1
927,Tomato,25.6,724,0
928,Maize,26.1,641,0
929,Rice,33.8,237,1
930,Maize,30.7,690,0
931,Maize,28.9,528,0
932,Banana,31.2,662,0
933,Millet,24.9,630,0
934,Banana,34.0,607,0
935,Banana,29.6,535,0
936,Cotton,25.7,172,0
937,Tomato,34.8,633,0
938,Cotton,34.3,348,1
939,Tomato,30.2,520,0
940,Millet,31.8,389,0
941,Tomato,28.2,249,1
942,Millet,28.5,522,0
943,Banana,30.4,567,0
944,Tomato,31.8,714,0
945,Maize,30.9,159,1
946,Rice,32.5,497,0
947,Rice,24.3,753,0
948,Cotton,29.4,572,0
949,Banana,30.1,345,1
950,Banana,33.2,534,0
951,Rice,31.7,252,1
952,Cotton,30.0,810,0
953,Millet,26.1,427,0
954,Rice,27.7,385,0
955,Cotton,25.1,329,0
956,Banana,29.1,801,0
957,Rice,24.5,355,0
958,Maize,31.1,274,1
959,Millet,28.6,721,0
960,Banana,30.9,796,0
961,Rice,29.3,533,0
962,Tomato,33.7,344,0
963,Maize,25.2,518,0
964,Tomato,26.9,492,0
965,Millet,30.6,268,1
966,Cotton,33.4,301,1
967,Tomato,30.2,236,1
968,Rice,26.6,737,0
969,Tomato,31.0,229,1
970,Banana,24.9,207,0
971,Millet,33.6,521,0
