Timestamp,sensor_id,ambient_temp,Temperature_C,humidity,SoilMoisture_ADC,iri_durat_mins,forcasted_needs,crop_type,section_id,WaterOn
03:27.9,SENS-1011,28.48741997,27.30611031,58,3030,15,nan,Rice,Sec-B,0
43:27.9,SENS-1017,28.41078499,26.19337783,61,2872,45,Low,Wheat,Sec-A,0
53:27.9,SENS-1002,20.76983242,19.12886806,67,3072,,High,Rice,Sec-D,0
53:27.9,SENS-1013,24.69548281,23.68093475,34,1854,30,nan,Rice,Sec-A,0
23:27.9,SENS-1010,27.36951675,25.23616737,76,4021,15,Low,Maize,Sec-C,0
13:27.9,SENS-1003,36.68132454,34.34273336,51,566,45,nan,Soybean,Sec-C,0
13:27.9,SENS-1006,32.82602772,30.06170974,76,2418,15,nan,Wheat,Sec-A,0
43:27.9,SENS-1008,18.71917884,17.42175907,63,,15,nan,Rice,Sec-A,0
13:27.9,SENS-1000,29.61026766,29.94450382,30,1934,30,nan,Wheat,Sec-D,0
23:27.9,SENS-1000,25.98293369,25.68950632,84,2708,,nan,Soybean,Sec-D,
33:27.9,SENS-1015,26.35148593,23.938468,84,3502,15,nan,Soybean,Sec-A,0
03:27.9,SENS-1001,30.03618639,31.67005773,55,3016,45,Low,,Sec-A,
43:27.9,SENS-1004,34.92334375,34.18599713,72,1332,45,High,Soybean,Sec-A,0
43:27.9,SENS-1007,32.80100309,33.58768071,39,3208,,Medium,Maize,Sec-A,0
13:27.9,SENS-1007,23.02218451,22.96469486,59,201,45,nan,Rice,Sec-B,0
23:27.9,SENS-1020,28.70162947,26.14472574,79,3507,,Medium,,Sec-A,0
13:27.9,SENS-1006,30.36977872,29.98758059,47,2360,45,Low,Maize,Sec-D,
03:27.9,SENS-1009,100.0928731,100,46,116,30,nan,Wheat,Sec-C,1
53:27.9,SENS-1020,22.40524229,25.12495457,55,3737,15,High,Rice,Sec-B,0
23:27.9,SENS-1016,28.37855327,26.88604614,37,936,30,Medium,Soybean,Sec-A,0
13:27.9,SENS-1011,22.65295852,21.36199016,76,3874,15,nan,Rice,Sec-C,
23:27.9,SENS-1019,25.1492697,20.82276026,69,574,15,Low,Wheat,Sec-B,0
23:27.9,SENS-1014,32.25959846,32.87515493,78,2291,15,High,,Sec-C,0
03:27.9,SENS-1013,36.57574083,36.13744017,41,536,30,Medium,,Sec-A,1
43:27.9,SENS-1010,28.06670664,27.56793927,56,1625,15,Medium,,Sec-A,0
53:27.9,SENS-1015,37.17610395,34.02119739,37,2122,30,nan,Soybean,Sec-D,0
43:27.9,SENS-1005,29.97922509,30.16981615,54,3877,,High,Maize,Sec-A,0
43:27.9,SENS-1010,24.68732452,24.12928147,75,385,45,High,Maize,Sec-A,0
33:27.9,SENS-1004,31.38416665,30.16837363,33,3974,45,High,Rice,Sec-B,0
23:27.9,SENS-1015,37.60143765,37.2282194,62,3281,15,High,Soybean,Sec-D,
43:27.9,SENS-1015,26.89217654,27.78504377,30,474,30,Low,,Sec-B,0
23:27.9,SENS-1006,37.77604192,37.38786193,48,417,45,High,,Sec-C,1
13:27.9,SENS-1015,14.42879288,12.28152938,60,2394,30,Medium,Wheat,Sec-A,0
03:27.9,SENS-1002,30.87838443,32.93141503,45,3600,30,Medium,Wheat,Sec-C,0
33:27.9,SENS-1006,28.78822176,28.52228241,43,2687,15,Low,,Sec-B,0
13:27.9,SENS-1006,24.80571427,26.2059559,82,938,45,Medium,,Sec-A,0
23:27.9,SENS-1007,30.94065792,28.55056466,77,954,15,Medium,Soybean,Sec-A,0
33:27.9,SENS-1014,13.0282127,16.07458651,34,875,15,High,Maize,Sec-B,0
43:27.9,SENS-1007,25.56412498,26.68196867,70,762,45,Medium,Wheat,Sec-B,0
03:27.9,SENS-1000,30.89709918,30.14267543,55,1202,45,Low,Maize,Sec-B,0
33:27.9,SENS-1011,39.99841233,36.86736427,57,1205,,High,Soybean,Sec-B,1
23:27.9,SENS-1009,24.75887817,24.89037869,31,663,,nan,,Sec-B,0
23:27.9,SENS-1016,22.03863933,23.14903838,79,24,30,High,Maize,Sec-A,0
23:27.9,SENS-1001,28.75177188,24.98945774,35,1990,45,Low,,Sec-B,0
23:27.9,SENS-1000,30.59638491,33.49241271,38,1203,,High,,Sec-A,0
33:27.9,SENS-1019,25.57489474,29.97250666,62,709,30,High,Rice,Sec-A,0
53:27.9,SENS-1002,25.70146768,24.82143878,70,3572,30,Low,Maize,Sec-B,0
53:27.9,SENS-1010,30.07549615,31.0796046,54,1879,30,High,Maize,Sec-B,0
13:27.9,SENS-1013,26.53999966,28.5824653,77,1184,,Low,,Sec-D,0
03:27.9,SENS-1004,56.41671289,55,42,2224,45,Low,Soybean,Sec-A,1
53:27.9,SENS-1006,24.27528286,23.78768144,38,284,15,nan,Rice,Sec-B,
03:27.9,SENS-1016,24.90586986,26.03402712,82,62,30,Medium,,Sec-B,0
13:27.9,SENS-1018,23.08674228,25.64735108,42,1002,,Medium,Wheat,Sec-B,0
43:27.9,SENS-1008,20.96382497,19.21891031,60,661,,High,Wheat,Sec-D,0
33:27.9,SENS-1011,31.07712402,29.77672166,70,2713,15,High,Rice,Sec-D,0
03:27.9,SENS-1005,29.36797991,29.56633163,40,2203,15,nan,Soybean,Sec-C,0
53:27.9,SENS-1019,31.72395473,28.03068074,33,3953,,nan,,Sec-A,0
13:27.9,SENS-1007,24.45230767,26.5924772,63,1492,45,nan,Maize,Sec-C,0
53:27.9,SENS-1016,16.45672521,19.50777555,67,3120,15,Low,Rice,Sec-B,0
03:27.9,SENS-1006,24.09231192,25.47612806,75,966,,nan,Soybean,Sec-D,0
33:27.9,SENS-1000,25.85254087,25.9437129,33,848,15,nan,Maize,Sec-D,0
43:27.9,SENS-1007,23.67301528,23.18633638,67,1107,45,High,Wheat,Sec-C,0
13:27.9,SENS-1012,26.54981361,27.03228573,48,3432,30,nan,Wheat,Sec-D,0
43:27.9,SENS-1004,31.12841593,30.42430514,35,688,15,Low,Maize,Sec-B,0
33:27.9,SENS-1018,36.81403656,39.31711541,63,147,45,Low,Rice,Sec-D,1
13:27.9,SENS-1013,31.93499609,29.04746688,47,3701,,High,Wheat,Sec-C,0
03:27.9,SENS-1012,29.38099999,29.54530234,42,341,15,nan,,Sec-B,0
33:27.9,SENS-1007,29.78791617,27.55332451,70,2523,15,nan,Maize,Sec-C,0
13:27.9,SENS-1013,17.1728234,16.48737271,52,1086,,Low,Maize,Sec-D,0
13:27.9,SENS-1005,28.75442319,27.84091675,48,1724,30,nan,Wheat,Sec-C,0
33:27.9,SENS-1015,29.50091582,28.36138126,74,1383,,nan,Rice,Sec-C,0
23:27.9,SENS-1015,43.67486979,42.77945267,40,2608,15,nan,,Sec-A,0
43:27.9,SENS-1019,28.13127973,26.84583421,30,326,,Medium,Rice,Sec-D,0
03:27.9,SENS-1008,32.46758911,29.80928405,53,1792,45,High,Soybean,Sec-D,0
13:27.9,SENS-1016,28.18477172,27.79172938,83,1759,,Medium,Soybean,Sec-C,0
23:27.9,SENS-1002,22.40593929,20.98793177,36,3212,15,High,Wheat,Sec-A,0
33:27.9,SENS-1007,34.6774655,34.85693689,54,989,,Low,Wheat,Sec-D,0
13:27.9,SENS-1011,35.39183263,32.5115982,50,2262,30,nan,Wheat,Sec-B,0
43:27.9,SENS-1000,31.39340708,32.74619168,44,2482,,High,Soybean,Sec-C,0
53:27.9,SENS-1008,26.14555614,22.54367527,30,3962,30,Medium,Rice,Sec-D,0
03:27.9,SENS-1004,,,41,951,45,nan,Rice,Sec-B,0
23:27.9,SENS-1005,16.72734342,19.58889362,87,722,30,Low,Wheat,Sec-D,0
13:27.9,SENS-1011,31.77735139,31.52114256,36,3389,,High,,Sec-B,0
53:27.9,SENS-1011,39.78063044,41.14273375,44,2079,15,High,Rice,Sec-C,1
53:27.9,SENS-1009,23.73806915,22.05678205,50,2717,30,High,Soybean,Sec-D,0
43:27.9,SENS-1014,23.29696566,24.60221362,48,2332,45,nan,Maize,Sec-D,0
03:27.9,SENS-1013,27.70554132,28.59790819,89,3376,30,Medium,Maize,Sec-A,0
13:27.9,SENS-1014,21.20006461,24.97914608,58,428,30,Medium,Maize,Sec-C,0
13:27.9,SENS-1007,17.79140678,18.69601941,54,1500,30,High,,Sec-B,0
23:27.9,SENS-1017,23.5636192,28.41137785,62,300,45,Low,Wheat,Sec-D,0
23:27.9,SENS-1006,18.45837207,21.62617772,78,3215,,Low,Soybean,Sec-D,0
43:27.9,SENS-1013,32.3623839,30.84155458,61,3495,30,Medium,,Sec-B,0
03:27.9,SENS-1001,24.05505491,22.48345459,78,3090,30,Low,Soybean,Sec-C,0
33:27.9,SENS-1009,38.15052155,37.29960643,64,2065,15,Medium,Soybean,Sec-A,1
23:27.9,SENS-1007,21.36652796,23.30048025,73,768,45,High,Wheat,Sec-A,0
,SENS-1010,25.97220819,26.0676309,67,2637,30,Medium,Maize,Sec-D,0
33:27.9,SENS-1009,32.87389823,32.8811033,55,1394,45,Medium,Wheat,Sec-B,0
03:27.9,SENS-1007,18.29808472,20.6148141,40,-20,30,High,,Sec-D,0
13:27.9,SENS-1019,32.37155621,29.36475961,64,3057,,Low,,Sec-B,0
23:27.9,SENS-1010,37.59758111,35.84285653,37,193,,Medium,,Sec-A,1
53:27.9,SENS-1012,17.91317224,18.35510059,75,2549,30,Medium,Wheat,Sec-C,0
23:27.9,SENS-1017,29.16157483,29.10780315,43,987,,High,Soybean,Sec-B,0
23:27.9,SENS-1002,29.97606238,29.55929677,39,1136,30,Low,Soybean,Sec-A,0
53:27.9,SENS-1006,28.60746749,32.69093723,31,2161,,Medium,Rice,Sec-D,0
33:27.9,SENS-1014,20.08394097,20.57829573,75,3293,15,High,,Sec-B,0
43:27.9,SENS-1010,18.71329183,20.07726032,38,1701,15,Medium,Soybean,Sec-C,
43:27.9,SENS-1009,29.12840937,31.13164939,32,946,15,nan,Rice,Sec-D,0
43:27.9,SENS-1013,29.21970745,29.78190804,50,830,45,High,Soybean,Sec-D,0
43:27.9,SENS-1016,33.09833016,29.5029571,55,3715,45,Low,,Sec-A,0
43:27.9,SENS-1019,31.36037498,30.07868926,37,1920,15,Low,Maize,Sec-B,0
33:27.9,SENS-1011,22.77749369,23.91985167,77,3335,45,Low,,Sec-D,
53:27.9,SENS-1015,30.53868775,29.39352218,31,2972,,Low,Wheat,Sec-C,0
03:27.9,SENS-1019,32.55714571,29.75843484,35,54,30,Medium,Soybean,Sec-B,0
33:27.9,SENS-1019,25.56315886,23.71389149,57,3942,30,Medium,Soybean,Sec-C,0
23:27.9,SENS-1008,-9.88073926,-10,82,3714,30,Low,Wheat,Sec-D,0
43:27.9,SENS-1000,29.54912397,30.84299753,58,799,15,Low,Wheat,Sec-C,0
13:27.9,SENS-1011,22.24862564,20.85217902,55,777,45,Low,Maize,Sec-A,0
43:27.9,SENS-1007,32.72629242,31.93932165,54,1481,,Medium,Soybean,Sec-C,0
53:27.9,SENS-1007,23.94229642,22.15190998,41,4050,,Low,Soybean,Sec-B,0
33:27.9,SENS-1011,33.99285123,32.72250762,34,1901,15,Low,Maize,Sec-C,0
03:27.9,SENS-1018,37.0506789,34.95157347,63,2209,,nan,Rice,Sec-C,0
23:27.9,SENS-1006,22.00543567,23.07590609,77,3451,,nan,Maize,Sec-A,0
23:27.9,SENS-1011,36.41504491,33.78025678,66,4064,,Low,,Sec-C,0
53:27.9,SENS-1007,30.87188477,30.47668556,44,2134,,High,Soybean,Sec-C,0
03:27.9,SENS-1020,37.08288271,32.93236096,73,54,45,Low,Wheat,Sec-D,0
33:27.9,SENS-1004,38.00238226,39.3807579,65,3547,,nan,,Sec-D,0
43:27.9,SENS-1009,29.99959891,26.5276713,44,1823,30,High,Soybean,Sec-B,0
33:27.9,SENS-1000,23.87340458,23.47758301,72,1201,15,High,Maize,Sec-D,0
53:27.9,SENS-1010,21.36007742,22.66291342,77,3462,45,Low,,Sec-D,0
53:27.9,SENS-1001,22.13736662,23.10513829,52,3420,,nan,Soybean,Sec-D,0
23:27.9,SENS-1016,26.89669513,27.53738974,35,3079,45,nan,Rice,Sec-D,0
03:27.9,SENS-1001,30.89524374,30.04691185,75,2000,,High,Rice,Sec-A,0
33:27.9,SENS-1003,30.70581577,29.6601448,79,312,30,Low,Wheat,Sec-D,0
33:27.9,SENS-1014,31.81569949,32.96309949,73,2806,15,Medium,Soybean,Sec-A,0
23:27.9,SENS-1007,28.02930217,28.07801135,88,1858,,Medium,Rice,Sec-A,0
23:27.9,SENS-1017,41.00574518,36.72120446,72,2007,,nan,Maize,Sec-D,1
23:27.9,SENS-1018,29.86714534,26.412059,74,2006,,Medium,Soybean,Sec-C,0
23:27.9,SENS-1010,45.19366234,44.321015,50,2490,,nan,Maize,Sec-A,1
13:27.9,SENS-1006,31.83001104,31.75400409,52,1790,15,nan,Maize,Sec-C,0
53:27.9,SENS-1011,23.09711731,22.85705466,72,4092,15,nan,Rice,Sec-C,0
33:27.9,SENS-1013,22.80168096,21.57464501,84,327,30,Medium,Soybean,Sec-D,0
33:27.9,SENS-1019,28.84924936,30.89483449,45,3125,15,nan,,Sec-B,0
13:27.9,SENS-1017,26.14447021,26.65922329,76,2808,,High,Rice,Sec-D,0
53:27.9,SENS-1003,28.94683482,32.28400296,82,3310,30,Low,Rice,Sec-B,0
53:27.9,SENS-1013,31.63787199,30.83942575,89,3300,30,Low,Soybean,Sec-B,0
13:27.9,SENS-1014,28.8574184,27.56302652,44,2626,30,nan,Soybean,Sec-D,0
33:27.9,SENS-1015,21.95286477,22.91923769,54,3122,,Low,Maize,Sec-D,0
03:27.9,SENS-1004,22.05889018,18.91091665,65,3680,45,Medium,Soybean,Sec-B,0
23:27.9,SENS-1017,22.86937896,25.32091029,40,3675,,Medium,Maize,Sec-D,0
13:27.9,SENS-1004,30.20964301,33.13839277,80,3054,15,Low,Rice,Sec-B,0
43:27.9,SENS-1005,29.7334661,29.28456246,44,1287,15,Medium,Wheat,Sec-C,0
53:27.9,SENS-1013,22.61976393,20.52556733,33,3489,,Low,,Sec-D,0
03:27.9,SENS-1013,32.40694094,29.03908556,50,3874,,Low,Rice,Sec-C,0
23:27.9,SENS-1004,29.39413575,30.31190428,42,2143,30,Low,Soybean,Sec-A,0
43:27.9,SENS-1006,24.85421705,22.69685538,51,1111,,nan,,Sec-C,0
33:27.9,SENS-1015,28.8453337,28.92235064,48,3149,30,Low,Wheat,Sec-C,0
43:27.9,SENS-1017,28.00399771,28.34925231,63,1311,15,nan,Wheat,Sec-B,
03:27.9,SENS-1012,22.90949809,21.14217821,43,3191,30,Low,Maize,Sec-C,0
23:27.9,SENS-1003,31.45136992,30.14672416,33,2861,,Low,,Sec-D,0
13:27.9,SENS-1005,28.21192284,31.36470716,77,2538,15,Low,Maize,Sec-B,0
13:27.9,SENS-1014,37.45138816,34.49830746,82,3983,45,Medium,Rice,Sec-A,0
03:27.9,SENS-1008,37.08299502,34.32281231,81,451,30,nan,,Sec-D,0
23:27.9,SENS-1015,18.48285839,19.73398379,75,1523,15,nan,Rice,Sec-A,0
33:27.9,SENS-1014,23.16465683,22.37304976,56,164,30,Low,Maize,Sec-C,0
03:27.9,SENS-1012,32.07827198,31.0902116,58,181,15,Low,,Sec-D,0
03:27.9,SENS-1000,31.60406324,31.08271571,76,2516,15,Medium,Maize,Sec-D,0
13:27.9,SENS-1017,29.98967581,31.09028612,57,909,30,Medium,,Sec-A,0
43:27.9,SENS-1005,49.77314221,51.11638894,64,2782,45,Medium,Maize,Sec-D,0
03:27.9,SENS-1011,31.37423492,31.42534306,37,822,15,nan,Wheat,Sec-D,0
43:27.9,SENS-1001,37.15885188,34.81339384,45,943,15,nan,Maize,Sec-D,0
43:27.9,SENS-1002,34.81121089,33.72401058,71,2001,15,nan,Wheat,Sec-C,0
43:27.9,SENS-1016,31.16711884,31.90834751,65,2054,45,Low,Maize,Sec-A,0
33:27.9,SENS-1015,27.65178195,26.10838453,59,329,45,nan,,Sec-D,0
53:27.9,SENS-1011,26.85673008,32.55381532,47,774,,High,,Sec-B,0
53:27.9,SENS-1019,25.66058011,23.36304871,31,3744,30,High,,Sec-B,0
33:27.9,SENS-1020,23.0996608,26.57908836,78,2198,45,Medium,Soybean,Sec-B,0
53:27.9,SENS-1009,24.36293683,25.08781871,42,3156,30,nan,Rice,Sec-B,0
53:27.9,SENS-1019,26.25190505,28.49124484,33,146,,High,,Sec-C,0
33:27.9,SENS-1009,39.29858845,41.8879514,55,3695,30,Medium,Wheat,Sec-D,0
43:27.9,SENS-1014,19.11806242,16.79640884,54,3452,45,nan,,Sec-A,0
53:27.9,SENS-1007,31.18215874,32.11756114,59,914,30,Low,Soybean,Sec-D,0
43:27.9,SENS-1012,19.01671254,18.32370477,40,1571,45,High,Wheat,Sec-C,0
43:27.9,SENS-1005,25.07456765,25.16840881,36,1308,30,Low,Soybean,Sec-B,0
33:27.9,SENS-1005,60.95408165,60,60,2747,45,nan,Wheat,Sec-C,0
53:27.9,SENS-1010,28.5393239,28.38568011,73,81,45,High,Maize,Sec-D,0
23:27.9,SENS-1004,18.96754688,21.53353133,39,513,30,nan,Rice,Sec-A,0
33:27.9,SENS-1001,25.70071138,23.70817774,68,1920,,Low,Rice,Sec-C,0
53:27.9,SENS-1020,31.09007333,32.07758649,42,2862,15,High,Soybean,Sec-A,0
23:27.9,SENS-1003,20.50463641,23.61780021,60,2756,,Low,Rice,Sec-C,0
53:27.9,SENS-1015,28.44252122,29.29875154,36,1939,30,nan,Soybean,Sec-A,0
43:27.9,SENS-1017,31.27495062,28.27343104,85,3594,,nan,Soybean,Sec-A,0
53:27.9,SENS-1015,25.7908414,24.09039791,78,745,45,Low,Soybean,Sec-B,0
13:27.9,SENS-1003,40.16636027,40.86366454,71,3070,15,High,Rice,Sec-A,0
53:27.9,SENS-1017,31.10499873,31.80351413,71,1409,30,Low,Soybean,Sec-B,0
33:27.9,SENS-1006,15.20587438,15.84914448,85,706,30,nan,Rice,Sec-D,0
03:27.9,SENS-1010,33.27222186,29.11872589,65,470,30,Low,Soybean,Sec-D,0
43:27.9,SENS-1015,24.79315212,24.02928121,49,3190,15,nan,,Sec-B,0
13:27.9,SENS-1017,33.9746833,33.11460001,33,395,45,Low,Soybean,Sec-B,0
13:27.9,SENS-1014,25.30544248,23.24487557,83,1555,30,High,Wheat,Sec-C,0
43:27.9,SENS-1001,27.78915967,27.31158135,36,2308,,High,Soybean,Sec-C,0
23:27.9,SENS-1014,30.51183938,31.02992367,83,804,30,Low,Maize,Sec-C,0
53:27.9,SENS-1004,32.80183147,33.19453117,30,933,30,Low,Soybean,Sec-D,0
13:27.9,SENS-1007,20.65501904,20.79822156,73,1279,30,High,Wheat,Sec-C,0
43:27.9,SENS-1004,25.91854811,25.99299258,85,1757,30,nan,Wheat,Sec-A,0
53:27.9,SENS-1004,26.60558722,25.15032813,74,904,45,High,Rice,Sec-A,0
03:27.9,SENS-1020,24.18391638,24.0800246,71,3297,,nan,,Sec-C,0
13:27.9,SENS-1012,40.0580056,38.59272544,76,1076,45,Low,Soybean,Sec-A,1
23:27.9,SENS-1010,30.26845711,30.42989027,88,2987,,Low,Rice,Sec-D,0
